time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1766015510043000000,2.014,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015512043000000,4.014,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015514045000000,6.016,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015516046000000,8.017000244140625,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015518051000000,10.022,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015520050000000,12.020999755859375,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015522049000000,14.02,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015524050000000,16.020999755859375,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015526052000000,18.023,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015528052000000,20.023,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015530062000000,22.033000244140624,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015532054000000,24.025000244140625,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015534055000000,26.026,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015536057000000,28.028,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015538057000000,30.028,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015540059000000,32.03,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015542060000000,34.031,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015544059000000,36.03,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015546060000000,38.031,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015548062000000,40.033000244140624,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015550063000000,42.034,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015552063000000,44.034,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015554066000000,46.03699975585938,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015556067000000,48.038,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015558066000000,50.03699975585938,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015560069000000,52.04,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015562070000000,54.041000244140626,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015564081000000,56.052,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015566073000000,58.044,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015568073000000,60.044,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015570075000000,62.046,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015572074000000,64.04499975585938,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015574075000000,66.046,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015576077000000,68.048,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015578079000000,70.05,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
